paleoData_pastName,paleoData_pastId,lipdName,synonym,paleoData_isAssemblage,paleoData_datum,paleoData_summaryStatistic,paleoData_measurementMaterial,paleoData_inferredMaterial,paleoData_method,paleoData_isPrimary,Freq,definition
delta 13C,320,d13C,d13CPisid,,,,Pisid,,,,2,
delta 13C,320,d13C,C33 δ13C,,,,C33,,,,2,
delta 13C,320,d13C,d13C bulk calcite,,,,,,,,1,
delta 13C,320,d13C,d13C C18 FAME,,,,C18,,,,1,
delta 13C,320,d13C,d13C C18 FAME SEM,,,,C18,,,,1,
delta 13C,320,d13C,d13C C20 FAME,,,,C20,,,,1,
delta 13C,320,d13C,d13C C20 FAME SEM,,,,C20,,,,1,
delta 13C,320,d13C,d13C C21 alkane,,,,C21,,,,1,
delta 13C,320,d13C,d13C C21 alkane SEM,,,,C21,,,,1,
delta 13C,320,d13C,d13C C22 FAME,,,,C22,,,,1,
delta 13C,320,d13C,d13C C22 FAME SEM,,,,C22,,,,1,
delta 13C,320,d13C,d13C C23 alkane,,,,C23,,,,1,
delta 13C,320,d13C,d13C C23 alkane SEM,,,,C23,,,,1,
,,herbs,Herbs___,TRUE,,,herbs,,,,1,
delta 13C,320,d13C,d13C C24 FAME,,,,C24,,,,1,
delta 13C,320,d13C,d13C C24 FAME SEM,,,,C24,,,,1,
delta 13C,320,d13C,d13C C25 alkane,,,,C25,,,,1,
delta 13C,320,d13C,d13C C25 alkane SEM,,,,C25,,,,1,
delta 13C,320,d13C,d13C C26 FAME,,,,C26,,,,1,
,,Gramineae,Gramineae,TRUE,,,,,,,2,
delta 13C,320,d13C,d13C C26 FAME SEM,,,,C26,,,,1,
delta 13C,320,d13C,d13C C27 alkane,,,,C27,,,,1,
delta 13C,320,d13C,d13C C27 alkane SEM,,,,C27,,,,1,
delta 13C,320,d13C,d13C C28 FAME,,,,C28,,,,1,
delta 13C,320,d13C,d13C C28 FAME SEM,,,,C28,,,,1,
delta 13C,320,d13C,d13C C29 alkane,,,,C29,,,,1,
delta 13C,320,d13C,d13C C29 alkane SEM,,,,C29,,,,1,
delta 13C,320,d13C,d13C C30 FAME,,,,C30,,,,1,
delta 13C,320,d13C,d13C C30 FAME SEM,,,,C30,,,,1,
delta 13C,320,d13C,d13C C31 alkane,,,,C31,,,,1,
delta 13C,320,d13C,d13C C31 alkane SEM,,,,C31,,,,1,
delta 13C,320,d13C,d13C C32 FAME,,,,C32,,,,1,
delta 13C,320,d13C,d13C C32 FAME SEM,,,,C32,,,,1,
delta 13C,320,d13C,d13C C33 alkane,,,,C33,,,,1,
delta 13C,320,d13C,d13C C33 alkane SEM,,,,C33,,,,1,
delta 13C,320,d13C,d13C C34 FAME,,,,C34,,,,1,
delta 13C,320,d13C,d13C C34 FAME SEM,,,,C34,,,,1,
delta 13C,320,d13C,d13C C35 alkane,,,,C35,,,,1,
delta 13C,320,d13C,d13C C35 alkane SEM,,,,C35,,,,1,
delta 13C,320,d13C,d13C carbonate,,,,,,,,1,
delta 13C,320,d13C,D13C_C30,,,,C30,,,,,
delta 13C,320,d13C,d13C organic,,,,,,,,1,
delta 13C,320,d13C,d13C ostracod,,,,,,,,1,
delta 13C,320,d13C,d13C_C31,,,,C31,,,,1,
,,AustralocyprisRobusta,AustralocyprisRobusta,TRUE,,,,,,,2,
delta 13C,320,d13C,d13c_dutertrei,,,,,,,,1,
delta 13C,320,d13C,d13C_org,,,,,,,,1,
delta 13C,320,d13C,d13c_pachyderma_d,,,,,,,,1,
delta 13C,320,d13C,d13Ccarb,,,,,,,,1,
delta 13C,320,d13C,d13CleafwaxC27,,,,C27,,,,1,
delta 13C,320,d13C,d13CleafwaxC27err,,,,C27,,,,1,
delta 13C,320,d13C,d13CleafwaxC29,,,,C29,,,,1,
delta 13C,320,d13C,d13CleafwaxC29err,,,,C29,,,,1,
delta 13C,320,d13C,d13CleafwaxC31,,,,C31,,,,1,
delta 13C,320,d13C,d13CleafwaxC31err,,,,C31,,,,1,
delta 13C,320,d13C,d13CleafwaxC33,,,,C33,,,,1,
delta 13C,320,d13C,d13CleafwaxC33err,,,,C33,,,,1,
delta 13C,320,d13C,d13CMean,,,,,,,,1,
delta 13C,320,d13C,Friedel-3-ene d13C,,,,Friedel-3-ene,,,,1,
delta 13C,320,d13C,Hop-17(21)-ene d13C,,,,,,,,1,
delta 13C,320,d13C,Bulk OM d13C,,,,Bulk OM,,,,1,
delta 13C,320,d13C,C21 d13C,,,,C21,,,,1,
delta 13C,320,d13C,C23 d13C,,,,C23,,,,1,
delta 13C,320,d13C,C25:2 d13C,,,,C25:2,,,,1,
delta 13C,320,d13C,C28 d13C vs. VPDB,,VPDB,,C28,,,,1,
delta 13C,320,d13C,C29 d13C,,,,C29,,,,1,
delta 13C,320,d13C,C31 d13C,,,,C31,,,,1,
delta 13C,320,d13C,CDR3_d13C,,,,,,CDR3,,1,
delta 13C,320,d13C,d13/12C,,,,,,,,1,
delta 13C,320,d13C,Taraxer-14-ene d13C,,,,,,,,1,
delta 13C,320,d13C,δ13C n-alkanes,,,,,,,,1,
delta 13C,320,d13C,δ13C n-alkanes std dev,,,,,,,,1,
delta 13C,320,d13C,d13C bulk,,,,bulk sediment,,,,1,
delta 13C,320,d13C,d13C C25,,,,C25,,,,1,
delta 13C,320,d13C,d13C C27,,,,C27,,,,1,
delta 13C,320,d13C,d13C C29,,,,C29,,,,1,
delta 13C,320,d13C,d13C C31,,,,C31,,,,1,
delta 13C,320,d13C,d13C VPDB,,VPDB,,,,,,1,
delta 13C,320,d13C,D13C_C28,,,,C28,,,,1,
delta 13C,320,d13C,D13C_FAME,,,,,,,,1,
missing,missing,d2HUncertaintyLow80,Precip dD 10 CI,,,quantile 10,,,,,1,
delta 13C,320,d13C,d13Cwax,,,,,,,,,
delta 13C,320,d13C,C13bulk,,,,,,,,,
delta 13C,320,d13C,C25 d13C,,,,C25,,,,,
delta 13C,320,d13C,C27 d13C,,,,C27,,,,,
delta 13C,320,d13C,C31d13C_PDB,,PDB,,C31,,,,,
delta 15N,322,d15N,d15N,,,,,,,,9,
delta 15N,322,d15N,d15N/14N,,,,,,,,1,
delta 15N,322,d15N,dN15,,,,,,,,1,
delta 15N,322,d15N,dN15_corrected,,,,,,,,1,
delta 15N,322,d15N,Bulk OM d15N,,,,Bulk OM,,,,1,
delta 18O,323,d18O,D18OIVC,,,,d18O,,ice volume corrected,,,
delta 18O,323,d18O,d18O,,,,,,,,1404,
delta 18O,323,d18O,d18o_ruber,,,,,,,,77,
delta 18O,323,d18O,d18o_pachyderma,,,,pachyderma,,,,71,
delta 18O,323,d18O,d18OComposite,,,,,,,,55,
delta 18O,323,d18O,planktic.d18O,,,,planktic,,,,52,
delta 18O,323,d18O,d18o_bulloides,,,,bulloides,,,,42,
delta 18O,323,d18O,d18o_sacculifer,,,,sacculifer,,,,19,
delta 18O,323,d18O,d18O_sw,,,,seawater,,,,19,
delta 18O,323,d18O,d18O_annual,,,mean,,,,,16,
delta 18O,323,d18O,D18O,,,,,,,,13,
,,Coscinodiscus_radiatus,Coscinodiscus_radiatus,TRUE,,,,,,,2,
delta 18O,323,d18O,d18o_ruber_pink,,,,ruber pink,,,,9,
delta 18O,323,d18O,d18o_dutertrei,,,,dutertrei,,,,7,
,,Cyperaceae,Cyperaceae,TRUE,,,,,,,2,
delta 18O,323,d18O,d18o_pachyderma_d,,,,pachyderma_d,,,,7,
delta 18O,323,d18O,d18O_sw_annual,,,,,sea water,,,6,
delta 18O,323,d18O,d18o_inflata,,,,inflata,,,,5,
delta 18O,323,d18O,d18O_PDB,,PDB,,,,,,3,
delta 18O,323,d18O,d18o_obliquiloculata,,,,obliquiloculata,,,,2,
delta 18O,323,d18O,d18O_SMOW,,,,SMOW,,,,2,
delta 18O,323,d18O,d18O_swcorr,,,,,,seawater corrected,,2,
delta 18O,323,d18O,d18Ocarb,,,,carbonate,,,,2,
delta 18O,323,d18O,d18OPisid,,,,Pisid,,,,2,
delta 18O,323,d18O,d18Osw-sl-g.rubw,,,,g.rubw,,,,2,
delta 18O,323,d18O,bagd18O,,,,bag,,,,2,
delta 18O,323,d18O,d180_corrc,,,,,,,,1,
delta 18O,323,d18O,d18O  encrustation,,,,,,,,1,
delta 18O,323,d18O,d18O Avg,,,,,,,,1,
delta 18O,323,d18O,d18O bulk calcite,,,,,,,,1,
delta 18O,323,d18O,d18O carbonate,,,,,,,,1,
delta 18O,323,d18O,d18O carbonate corrected for dolomite,,,,,,,,1,
delta 18O,323,d18O,d18O Chironomid,,,,Chironomid,,,,1,
delta 18O,323,d18O,d18O ostracod,,,,ostracod,,,,1,
delta 18O,323,d18O,d18O pore ice sw corr,,,,pore ice,,,,1,
delta 18O,323,d18O,d18O_210yr,,,,,,,,1,
delta 18O,323,d18O,d18o_acicula,,,,acicula,,,,1,
delta 18O,323,d18O,d18o_crassaformis,,,,crassaformis,,,,1,
delta 18O,323,d18O,d18O_Gb,,,,Gb,,,,1,
,,Npachderma,Npachderma,TRUE,,,,,,,2,
delta 18O,323,d18O,d18o_mabahethi,,,,mabahethi,,,,1,
delta 18O,323,d18O,d18o_marginata,,,,marginata,,,,1,
delta 18O,323,d18O,d18o_menardii,,,,menardii,,,,1,
delta 18O,323,d18O,d18o_peregrina,,,,peregrina,,,,1,
delta 18O,323,d18O,d18o_quinqueloba,,,,quinqueloba,,,,1,
,,pachysin,percent_pachysin,TRUE,,percent,,,,,2,
delta 18O,323,d18O,d18o_ruber_lato,,,,ruber_lato,,,,1,
delta 18O,323,d18O,d18o_ruber_stricto,,,,ruber_stricto,,,,1,
delta 18O,323,d18O,d18o_tumida,,,,tumida,,,,1,
,,Pinus,Pinus,TRUE,,,,,,,2,
delta 18O,323,d18O,d18O_vPDB,,,,vPDB,,,,1,
delta 18O,323,d18O,d18OBsi,,,,Bsi,,,,1,
,,Pseudtsuga,Pseudtsuga,TRUE,,,,,,,2,
delta 18O,323,d18O,d18Odiatom,,,,diatom,,,,1,
delta 18O,323,d18O,d18Og.rub,,,,g.rub,,,,1,
delta 18O,323,d18O,d18Omean,,,mean,,,,,1,
delta 18O,323,d18O,d18Osw-g.rub,,,,sw-g.rub,,,,1,
delta 18O,323,d18O,d18OTerrestrialGastropods,,,,TerrestrialGastropods,,,,1,
delta 18O,323,d18O,d18Otr,,,,,,,,1,
delta 18O,323,d18O,d18Otr-,,,,,,,,1,
delta 18O,323,d18O,d18Otr+,,,,,,,,1,
delta 18O,323,d18O,G. ruber w δ18O [‰ PDB],,,,G. ruber,,,,1,
delta 18O,323,d18O,Gbulloidesd18O,,,,Gbulloides,,,,1,
delta 18O,323,d18O,CDR3_d18O,,,,,,CDR3,,1,
delta 18O,323,d18O,dd18O5pt,,,,,,,,1,
delta 18O,323,d18O,Ndutertreid18O,,,,Ndutertrei,,,,1,
,,Stephanopyxis,Stephanopyxis,TRUE,,,,,,,2,
delta 18O,323,d18O,nonReliabled18O,,,,,,unreliable,,1,
delta 18O,323,d18O,ruberD18,,,,ruber,,,,1,
delta 18O,323,d18O,WR11_d18O,,,,,,,,1,
delta 18O,323,d18O,x18O,,,,,,,,1,
delta 18O,323,d18O,x18ORub_,,,,ruber,,,,1,
delta 18O,323,d18O,δ18O,,,,,,,,1,
delta 18O,323,d18O,Chironomid d18O,,,,,,,,1,
delta 18O,323,d18O,d18O (Sea Level Corrected),,,,,,ice-volume corrected,,1,
delta 18O,323,d18O,D18O_corrected,,,,,,corrected,,1,
delta 18O,323,d18O,d18O VPDB,,VPDB,,,,,,1,
delta 18O,323,d18O,d18O_Grass_leaf,,,,,,,,1,
,,Tsuga_heterophylla,Tsuga_heterophylla,TRUE,,,,,,,2,
delta 18O,323,d18O,d18O_Sphagnum,,,,,,,,1,
delta 18O,323,d18O,d18O_vp–sp,,,,,,,,1,
delta 18O,323,d18O,d18O chironomid,,,,,,,,,
delta 18O,323,d18O,d18O Lake water,,,,,,,,,
delta 18O,323,d18O,d18O pore ice,,,,,,,,,
delta 18O,323,d18O,d18Osw,,,,,sea water,,,,
delta 18O,323,d18O,planktic.d18O,,,,planktic,,,,,
delta 2H,324,d2H,d2H,,,,,,,,153,
delta 2H,324,d2H,dD,,,,,,,,10,
delta 2H,324,d2H,C29 δD,,,,,,,,6,
delta 2H,324,d2H,dDwax_iv,,,,leafwax,,ice-volume corrected,,4,
delta 2H,324,d2H,C31 δD,,,,C31,,,,4,
delta 2H,324,d2H,dDP,,,,,,,,4,
delta 2H,324,d2H,d2H C29,,,,C29,,,,3,
delta 2H,324,d2H,C26 d2H,,,,C26,,,,3,
delta 2H,324,d2H,C30 d2H,,,,C30,,,,3,
delta 2H,324,d2H,d2H C27,,,,C27,,,,2,
delta 2H,324,d2H,dD_C31,,,,C31,,,,2,
delta 2H,324,d2H,dD_swcorr,,,,,,seawater corrected,,2,
delta 2H,324,d2H,bagdD,,,,bag,,,,2,
delta 2H,324,d2H,C22 d2H,,,,C22,,,,2,
delta 2H,324,d2H,C24 d2H,,,,C24,,,,2,
delta 2H,324,d2H,C25 d2H,,,,C25,,,,2,
delta 2H,324,d2H,C28 d2H,,,,C28,,,,2,
delta 2H,324,d2H,C28_dD,,,,C28,,,,2,
delta 2H,324,d2H,C29 dD,,,,C29,,,,2,
delta 2H,324,d2H,d2H C20,,,,C20,,,,2,
delta 2H,324,d2H,d2H C23,,,,C23,,,,2,
delta 2H,324,d2H,dDC29,,,,C29,,,,2,
delta 2H,324,d2H,dDC31,,,,C31,,,,2,
delta 2H,324,d2H,d2H avg,,,avg,,,,,1,
delta 2H,324,d2H,d2H C20 FAME,,,,C20,,,,1,
delta 2H,324,d2H,d2H C20 FAME SEM,,,,C20,,,,1,
delta 2H,324,d2H,d2H C21 alkane,,,,C21,,,,1,
delta 2H,324,d2H,d2H C21 alkane SEM,,,,C21,,,,1,
delta 2H,324,d2H,d2H C22 FAME,,,,C22,,,,1,
delta 2H,324,d2H,d2H C22 FAME SEM,,,,C22,,,,1,
delta 2H,324,d2H,d2H C23 alkane,,,,C23,,,,1,
delta 2H,324,d2H,d2H C23 alkane SEM,,,,C23,,,,1,
delta 2H,324,d2H,d2H C24 FAME,,,,C24,,,,1,
delta 2H,324,d2H,d2H C24 FAME SEM,,,,C24,,,,1,
delta 2H,324,d2H,d2H C25,,,,C25,,,,1,
delta 2H,324,d2H,d2H C25 alkane,,,,C25,,,,1,
delta 2H,324,d2H,d2H C25 alkane SEM,,,,C25,,,,1,
delta 2H,324,d2H,d2H C25 error,,,,C25,,,,1,
delta 2H,324,d2H,d2H C26 FAME,,,,C26,,,,1,
delta 2H,324,d2H,d2H C26 FAME SEM,,,,C26,,,,1,
delta 2H,324,d2H,d2H C27 alkane,,,,C27,,,,1,
delta 2H,324,d2H,d2H C27 alkane SEM,,,,C27,,,,1,
delta 2H,324,d2H,d2H C27 error,,,,C27,,,,1,
delta 2H,324,d2H,d2H C28 FAME,,,,C28,,,,1,
delta 2H,324,d2H,d2H C28 FAME SEM,,,,C28,,,,1,
delta 2H,324,d2H,d2H C29 alkane,,,,C29,,,,1,
delta 2H,324,d2H,d2H C29 alkane SEM,,,,C29,,,,1,
delta 2H,324,d2H,d2H C29 error,,,,C29,,,,1,
delta 2H,324,d2H,d2H C30 FAME,,,,C30,,,,1,
delta 2H,324,d2H,d2H C30 FAME SEM,,,,C30,,,,1,
delta 2H,324,d2H,d2H C31,,,,C31,,,,1,
delta 2H,324,d2H,d2H C31 alkane,,,,C31,,,,1,
delta 2H,324,d2H,d2H C31 alkane SEM,,,,C31,,,,1,
delta 2H,324,d2H,d2H C31 error,,,,C31,,,,1,
delta 2H,324,d2H,d2H C32 FAME,,,,C32,,,,1,
delta 2H,324,d2H,d2H C32 FAME SEM,,,,C32,,,,1,
delta 2H,324,d2H,d2H C33 alkane,,,,C33,,,,1,
delta 2H,324,d2H,d2H C33 alkane SEM,,,,C33,,,,1,
delta 2H,324,d2H,d2H pore ice,,,,pore ice,,,,1,
delta 2H,324,d2H,d2H pore ice sw corr,,,,pore ice,,,,1,
delta 2H,324,d2H,d2H_C16,,,,C16,,,,1,
delta 2H,324,d2H,d2H_C26,,,,C26,,,,1,
delta 2H,324,d2H,d2H_C28,,,,C28,,,,1,
delta 2H,324,d2H,d2H_C30,,,,C30,,,,1,
delta 2H,324,d2H,d2HC30,,,,C30,,,,1,
delta 2H,324,d2H,d2HleafwaxC29,,,,C29,,,,1,
delta 2H,324,d2H,d2HleafwaxC29err,,,,C29,,,,1,
delta 2H,324,d2H,d2HleafwaxC31,,,,C31,,,,1,
delta 2H,324,d2H,d2HleafwaxC31err,,,,C31,,,,1,
delta 2H,324,d2H,d2HleafwaxC33,,,,C33,,,,1,
delta 2H,324,d2H,d2HleafwaxC33err,,,,C33,,,,1,
delta 2H,324,d2H,d2Hsw,,,,seawater,,,,1,
delta 2H,324,d2H,dD IV,,,,,,ice-volume corrected,,1,
delta 2H,324,d2H,dDwax_IVC,,,,,,ice-volume corrected,,,
delta 2H,324,d2H,dD_C31_sd,,,,,,,,1,
delta 2H,324,d2H,dD_IVandbio,,,,,,ice-volume corrected,,1,
delta 2H,324,d2H,dD_IVonly,,,,,,ice-volume corrected,,1,
delta 2H,324,d2H,dD_iceVolCorrected,,,,,,ice-volume corrected,,,
delta 2H,324,d2H,dDwax,,,,leafwax,,,,1,
delta 2H,324,d2H,dDwax Corrected,,,,leafwax,,corrected,,1,
delta 2H,324,d2H,dDwax_corr,,,,,,corrected,,1,
delta 2H,324,d2H,Friedel-3-ene d2H,,,,Friedel-3-ene,,,,1,
delta 2H,324,d2H,Hop-17(21)-ene d2H,,,,,,,,1,
delta 2H,324,d2H,C20 d2H,,,,C20,,,,1,
delta 2H,324,d2H,C20 d2H SEM,,,,C20,,SEM,,1,
delta 2H,324,d2H,C21 d2H,,,,C21,,,,1,
delta 2H,324,d2H,C22 d2H SEM,,,,C22,,,,1,
delta 2H,324,d2H,C23 δD,,,,C23,,,,1,
delta 2H,324,d2H,C25 δD,,,,C25,,,,1,
delta 2H,324,d2H,C26 d2H SEM,,,,C26,,SEM,,1,
delta 2H,324,d2H,C27 d2H,,,,C27,,,,1,
delta 2H,324,d2H,C28 d2H SEM,,,,C28,,,,1,
delta 2H,324,d2H,C28_dDIV,,,,C28,,ice-volume corrected,,1,
delta 2H,324,d2H,C29 d2H,,,,C29,,,,1,
delta 2H,324,d2H,C29 δD Corrected,,,corrected,C29,,,,1,
delta 2H,324,d2H,C29 δD ice volume adjusted,,,,C29,,ice-volume corrected,,1,
delta 2H,324,d2H,C29 δD ice volume and vegetation adjusted,,,ice volume and vegetation adjusted,C29,,,,1,
delta 2H,324,d2H,C29-C31 δD,,,,C29-C31,,,,1,
delta 2H,324,d2H,C30 d2H SEM,,,,C30,,SEM,,1,
delta 2H,324,d2H,C30 dD,,,,C30,,,,1,
delta 2H,324,d2H,dD_C30,,,,C30,,,,,
delta 2H,324,d2H,C30 dD IV corrected  (3°C),,,,C30,,ice-volume corrected,,1,
delta 2H,324,d2H,C30 dD IV corrected  (7°C),,,,C30,,ice-volume corrected,,1,
delta 2H,324,d2H,C31 d2H,,,,C31,,,,1,
delta 2H,324,d2H,C31dD,,,,C31,,,,1,
delta 2H,324,d2H,C31dDsd,,,,C31,,,,1,
delta 2H,324,d2H,C32 dD,,,,C32,,,,1,
delta 2H,324,d2H,C33 δD,,,,C33,,,,1,
delta 2H,324,d2H,nC28_dD,,,,C28,,,,1,
delta 2H,324,d2H,nC30_dD,,,,C30,,,,1,
delta 2H,324,d2H,Taraxer-14-ene d2H,,,,,,,,1,
delta 2H,324,d2H,δDaq,,,,,aq,,,1,
delta 2H,324,d2H,δDterr,,,,,terr,,,1,
delta 2H,324,d2H,C31 dD,,,,,,,,1,
delta 2H,324,d2H,d2H C22,,,,C22,,,,1,
delta 2H,324,d2H,d2H C25:2,,,,C25:2,,,,1,
delta 2H,324,d2H,d2H C30,,,,C30,,,,1,
delta 2H,324,d2H,d2H precip,,,,,,,,1,
delta 2H,324,d2H,dD_C29,,,,C29,,,,1,
delta 2H,324,d2H,Long chain n-acid avg d2H,,,,long chain n-acid avg,,,,1,
delta 2H,324,d2H,Long Chain n-alkane avg d2H,,,,long chain n-acid avg,,,,1,
delta 2H,324,d2H,Mid-chain n-acid avg d2H,,,,mid-chain n-acid avg,,,,1,
delta 2H,324,d2H,Midchain n-alkane avg d2H,,,,mid-chain n-acid avg,,,,1,
delta 2H,324,d2H,d2HC24,,,,C24,,,,,
delta 2H,324,d2H,d2HC26,,,,C26,,,,,
delta 2H,324,d2H,d2HC28,,,,C28,,,,,
delta 2H,324,d2H,d2HC29,,,,C29,,,,,
delta 2H,324,d2H,C20d2H,,,,C20,,,,,
delta 2H,324,d2H,C22d2H,,,,C22,,,,,
delta 2H,324,d2H,C23 d2H,,,,C23,,,,,
delta 2H,324,d2H,C24d2H,,,,C24,,,,,
delta 2H,324,d2H,C25:2 d2H,,,,C25,,,,,
delta 2H,324,d2H,C26d2H,,,,C26,,,,,
delta 2H,324,d2H,C28d2H,,,,C28,,,,,
delta 2H,324,d2H,C30d2H,,,,C30,,,,,
delta 2H,324,d2H,Dd,,,,,,,,,
delta 2H,324,d2H,Precip d2H,,,,,,,,,
missing,missing,Dd2H,ΔδDterr-aq,,,,,,,,1,
missing,missing,deleteThisColumn,average C26 C28,,,average,,,,,1,
missing,missing,deleteThisColumn,CAL,,,,,,,,7,
missing,missing,deleteThisColumn,A,,,,,,,,4,
missing,missing,deleteThisColumn,Calibrated,,,,,,,,3,
missing,missing,deleteThisColumn,IMON1953/3,,,,,,,,3,
missing,missing,deleteThisColumn,interval,,,,,,,,3,
missing,missing,deleteThisColumn,SAUG/3,,,,,,,,3,
missing,missing,deleteThisColumn,SETE/3,,,,,,,,3,
missing,missing,deleteThisColumn,SFEV/3,,,,,,,,3,
missing,missing,deleteThisColumn,SHIV/3,,,,,,,,3,
missing,missing,deleteThisColumn,TETE/3,,,,,,,,3,
missing,missing,deleteThisColumn,TFEV/3,,,,,,,,3,
missing,missing,deleteThisColumn,THIV/3,,,,,,,,3,
missing,missing,deleteThisColumn,hobdob,,,,,,,,2,
missing,missing,deleteThisColumn,LazerProfiler,,,,,,,,1,
missing,missing,deleteThisColumn,noID,,,,,,,,1,
missing,missing,deleteThisColumn,RCS.ars,,,,,,,,1,
missing,missing,deleteThisColumn,UnkownColumn,,,,,,,,1,
missing,missing,deltaRelativeHumidity,∆RH_mid,,,,,,,,1,
missing,missing,deltaTemperature,deltaT,,,,,,,,1,
missing,missing,dryBulkDensity,DBD,,,,,,,,5,
missing,missing,dryBulkDensity,Dry Bulk Density,,,,,,,,2,
density,681,density,density,,,,,,,,59,
density,681,density,Density,,,,,,,,,
depth,242,depth,depth,,,,,,,TRUE,4365,
depth,242,depth,depthComposite,,,composite,,,,,49,
depth,242,depth,Depth,,,,,,,,30,
depth,242,depth,depth_merged,,,composite,,,,,9,
depth,242,depth,depthice,,,,,,ice,TRUE,8,
depth,242,depth,depthwe,,,,,,water equivalent,FALSE,8,
depth,242,depth,MidpointDepth,,,,,,,,6,
depth,242,depth,Depth blf,,,,,,,,4,
depth,242,depth,depthComp,,,,,,,,3,
depth,242,depth,Composite depth,,,composite,,,,,3,
depth,242,depth,compositeDepth,,,composite,,,,,3,
depth,242,depth,Composite Depth,,,,,,,,2,
depth,242,depth,Section depth,,,section,,,,FALSE,2,
depth,242,depth,depth corrected,,,,,,,,1,
depth,242,depth,depth_cmbs,,,,,,,FALSE,1,
depth,242,depth,depth_core1,,,,,,,FALSE,1,
depth,242,depth,depth_corr_cm,,,,,,,FALSE,1,
depth,242,depth,depth_merge,,,,,,,FALSE,1,
depth,242,depth,Composite Depth in Core,,,,,,,FALSE,1,
depth,242,depth,Composite depth mid,,,,,,,FALSE,1,
depth,242,depth,Composite_depth,,,,,,,FALSE,1,
depth,242,depth,Depth_eventFree,,,,,,event layers removed,TRUE,,
depth,242,depth,cor_depth_cm,,,,,,,FALSE,1,
depth,242,depth,depthByCore,,,,,,,FALSE,1,
depth,242,depth,DrillHole Depth,,,,,,,FALSE,1,
depth,242,depth,mean depth,,,,,,,FALSE,1,
depth,242,depth,originalCoreDepth,,,,,,,FALSE,1,
depth,242,depth,Section Depth,,,,section,,,FALSE,1,
depth,242,depth,Core depth,,,,,,,FALSE,1,
depth,242,depth,depth_core,,,,,,,FALSE,1,
depth,242,depth,Adjusted Depth,,,adjusted,,,,FALSE,1,
depth,242,depth,drive-depth,,,,drive depth,,,FALSE,1,
depth at sample start,1291,depthBottom,depth.bottom,,,,,,,,6,
depth at sample start,1291,depthBottom,depth_bot,,,,,,,,3,
depth at sample start,1291,depthBottom,bottomDepth,,,,,,,,2,
depth at sample start,1291,depthBottom,depth_bottom,,,,,,,,2,
depth at sample start,1291,depthBottom,bot,,,,,,,,1,
depth at sample start,1291,depthBottom,Bot,,,,,,,,1,
depth at sample start,1291,depthBottom,Bottom Depth,,,,,,,,1,
depth at sample start,1291,depthBottom,Composite depth bottom,,,,,,,,1,
depth at sample start,1291,depthBottom,Section depth bottom,,,,section,,,FALSE,1,
depth at sample start,1291,depthBottom,uncorrected_depth_bot,,,,,,,FALSE,1,
depth at sample start,1291,depthBottom,bottom depth in section,,,,section,,,FALSE,1,
depth at sample start,1291,depthBottom,Bottom_depth,,,,,,,FALSE,1,
depth at sample end,1224,depthTop,depth.top,,,,,,,,14,
depth at sample end,1224,depthTop,depth_top_m,,,,,,,,2,
depth at sample end,1224,depthTop,depth_top,,,,,,,,2,
depth at sample end,1224,depthTop,Composite depth top,,,,,,,,1,
depth at sample end,1224,depthTop,Section depth top,,,,section,,,FALSE,1,
depth at sample end,1224,depthTop,top,,,,,,,,1,
depth at sample end,1224,depthTop,Top,,,,,,,,1,
depth at sample end,1224,depthTop,Top Depth,,,,,,,,1,
depth at sample end,1224,depthTop,topDepth,,,,,,,,1,
depth at sample end,1224,depthTop,uncorrected_depth_top,,,,,,,FALSE,1,
depth at sample end,1224,depthTop,top depth in section,,,,,,,FALSE,1,
depth at sample end,1224,depthTop,Top_depth,,,,,,,,1,
depth at sample end,1224,depthTop,logdepthtop,,,log,,,,,1,
depth at sample end,1224,depthTop,logdepthtop-EDC99,,,log,,,,,1,
depth at sample end,1224,depthTop,logdepttop,,,log,,,,,1,
deuterium excess,1426,deuteriumExcess,deuteriumExcess,,,,,,,,8,
deuterium excess,1426,deuteriumExcess,d-excess,,,,,,,,4,
deuterium excess,1426,deuteriumExcess,bagDexcess,,,,bag,,,,2,
deuterium excess,1426,deuteriumExcess,d-excess_swcorr,,,,seawater,,,,2,
deuterium excess,1426,deuteriumExcess,deutEx,,,,,,,,1,
deuterium excess,1426,deuteriumExcess,dxs,,,,,,,,1,
deuterium excess,1426,deuteriumExcess,d-excess pore ice,,,,pore ice,,,,1,
deuterium excess,1426,deuteriumExcess,d-excess pore ice sw corr,,sw corr,,pore ice,,,,1,
deuterium excess,1426,deuteriumExcess,d-excess sw,,,,,seawater,,,1,
diatom,1601,diatom,%Benthic,,,,Benthic,,,,2,
diatom,1601,diatom,%fresh,,,,fresh,,,,2,
diatom,1601,diatom,%Indif.,,,,Indif.,,,,2,
diatom,1601,diatom,%Saline,,,,Saline,,,,2,
diatom,1601,diatom,%benth.dia,,,percent,benthic diatom,,,,1,
diatom,1601,diatom,%plank.dia,,,percent,planktic diatom,,,,1,
diatom,1601,diatom,%saline.dia,,,percent,saline diatom,,,,1,
diatom,1601,diatom,SumDiatoms,,,sum,diatoms,,,,1,
diatom index,3772,diatomCount,seaIceDiatoms,,,,sea ice diatoms,,,,1,
diatom index,3772,diatomCount,diatom_abundance,,,,,,,,1,
diatom index,3772,diatomCount,Diatoms_per_traverse,,,,,,,,1,
